RUN	computerdatabase.BasicSimulation	basicsimulation	1570308863632	This is my first test	3.2.1
USER	Scenario Name	1	START	1570308865014	1570308865014
REQUEST	1		request_1	1570308865048	1570308865646	OK	 
REQUEST	1		request_1 Redirect 1	1570308865655	1570308865817	OK	 
REQUEST	1		request_2	1570308872845	1570308873183	OK	 
REQUEST	1		request_3	1570308875180	1570308875347	OK	 
REQUEST	1		request_4	1570308878343	1570308878509	OK	 
REQUEST	1		request_4 Redirect 1	1570308878510	1570308878680	OK	 
REQUEST	1		request_5	1570308880685	1570308880853	OK	 
REQUEST	1		request_6	1570308881525	1570308881692	OK	 
REQUEST	1		request_7	1570308882314	1570308882481	OK	 
REQUEST	1		request_8	1570308883225	1570308883413	OK	 
REQUEST	1		request_9	1570308888413	1570308888747	OK	 
REQUEST	1		request_10	1570308889750	1570308889917	OK	 
REQUEST	1		request_10 Redirect 1	1570308889925	1570308890091	OK	 
USER	Scenario Name	1	END	1570308865014	1570308890101
