RUN	RecordedSimulation	recordedsimulation	1570312233107	Testing modified file	3.2.1
USER	RecordedSimulation	1	START	1570312234484	1570312234484
REQUEST	1		LOAD HOME PAGE	1570312234519	1570312234856	OK	 
REQUEST	1		main.css	1570312234926	1570312235249	OK	 
REQUEST	1		bootstrap.min.css	1570312234925	1570312235264	OK	 
REQUEST	1		request_2	1570312234927	1570312235268	OK	 
REQUEST	1		request_1	1570312234927	1570312235595	OK	 
REQUEST	1		LOAD NEW COMPUTER PAGE	1570312236615	1570312236777	OK	 
REQUEST	1		CREATE NEW COMPUTER	1570312237797	1570312237964	OK	 
REQUEST	1		CREATE NEW COMPUTER Redirect 1	1570312237975	1570312238140	OK	 
REQUEST	1		SEARCH COMPUTER	1570312239144	1570312239310	OK	 
REQUEST	1		VIEW COMPUTER DETAILS	1570312240324	1570312240497	OK	 
USER	RecordedSimulation	1	END	1570312234484	1570312240510
