RUN	RecordedSimulation	recordedsimulation	1570312316694	.	3.2.1
USER	RecordedSimulation	1	START	1570312318033	1570312318033
REQUEST	1		LOAD HOME PAGE	1570312318071	1570312318409	OK	 
REQUEST	1		request_2	1570312318483	1570312318794	OK	 
REQUEST	1		bootstrap.min.css	1570312318482	1570312318816	OK	 
REQUEST	1		main.css	1570312318482	1570312318823	OK	 
REQUEST	1		request_1	1570312318483	1570312319132	OK	 
REQUEST	1		LOAD NEW COMPUTER PAGE	1570312320152	1570312320309	OK	 
REQUEST	1		CREATE NEW COMPUTER	1570312321330	1570312321497	OK	 
REQUEST	1		CREATE NEW COMPUTER Redirect 1	1570312321508	1570312321676	OK	 
REQUEST	1		SEARCH COMPUTER	1570312322675	1570312322843	OK	 
REQUEST	1		VIEW COMPUTER DETAILS	1570312323855	1570312324014	OK	 
USER	RecordedSimulation	1	END	1570312318033	1570312324023
